faq_id,domain,category,question,answer,created_date
FAQ-001,SaaS / Tech,billing,How does seat-based billing work?,You're billed for number of active seats (user accounts) in workspace. Removing user deactivates seat. Billing adjusts start of next billing cycle.,2026-01-20
FAQ-002,SaaS / Tech,billing,How to downgrade plan?,Settings → Billing → Change Plan → select lower plan. Downgrades effective end of current billing period. No charge for unused time.,2025-09-18
FAQ-003,SaaS / Tech,billing,Can I get refund if I cancel?,Annual plan customers eligible for pro-rata refund for unused full months if cancelled within 30 days of renewal. Monthly plans not refunded for current period.,2026-02-02
FAQ-004,SaaS / Tech,billing,Why was workspace suspended after failed payment?,"Workspaces enter 7-day grace period after failed payment. If not received within window, workspace suspended. All data retained 30 days after suspension.",2025-12-04
FAQ-005,SaaS / Tech,billing,How to update billing credit card?,Settings → Billing → Payment Methods → Edit. Changes apply immediately to next billing cycle.,2026-01-31
FAQ-006,SaaS / Tech,billing,How to get copy of past invoice?,Settings → Billing → Invoice History → select month → Download PDF. All invoices available from account creation date.,2025-10-10
FAQ-007,SaaS / Tech,billing,Do you offer non-profit or educational discounts?,Yes. 30% discounts for verified non-profits and 50% for qualifying educational institutions. Apply via Settings → Billing → Discount Programs.,2025-11-23
FAQ-008,SaaS / Tech,billing,How does annual plan discount work?,Annual plans billed upfront for 12 months at 20% discount versus monthly rate. Discount applied automatically at checkout when selecting annual billing.,2025-12-09
FAQ-009,SaaS / Tech,billing,How to apply tax exemption certificate?,"Settings → Billing → Tax Exemption → Upload Certificate. Once verified (typically 3 business days), tax removed from future invoices.",2025-10-25
FAQ-010,SaaS / Tech,billing,Why charged for feature add-on I didn't activate?,Some add-ons have trial period after which they convert to paid. Check Settings → Billing → Add-ons for active add-ons. Contact support to dispute and remove.,2025-09-20
FAQ-011,SaaS / Tech,billing,How to set up multiple payment methods?,Settings → Billing → Payment Methods → Add Method. Designate primary and backup payment method. Auto-pay uses primary.,2025-12-12
FAQ-012,SaaS / Tech,billing,Can I switch from monthly to annual billing?,"Yes. Switch anytime via Settings → Billing → Change Plan → toggle to Annual. Charged annual rate immediately, credited for unused days on current monthly cycle.",2026-01-15
FAQ-013,SaaS / Tech,billing,What happens to data if I don't pay invoice?,"After 7-day grace period, workspace suspended but data retained. After 30 days suspension, data deletion begins. Can reactivate anytime within 30-day window.",2025-08-26
FAQ-014,SaaS / Tech,billing,How to get W-9 or vendor form?,Contact support with your company name and finance contact. We send completed W-9 or vendor form within 2 business days.,2025-12-08
FAQ-015,SaaS / Tech,billing,How are usage-based charges calculated?,"Usage charges (e.g., API calls, storage overages) calculated end of each billing cycle based on actual consumption. Usage breakdown in Settings → Billing → Usage.",2025-11-22
FAQ-016,SaaS / Tech,billing,Can I add PO number to invoices?,"Yes. Settings → Billing → Invoice Settings → PO Number. Appears on all future invoices. For past invoices, contact support.",2026-01-15
FAQ-017,SaaS / Tech,billing,What currencies supported for billing?,"We support USD, EUR, GBP, CAD, AUD. Currency set at account creation. Contact support to change — requires re-entering payment details.",2025-08-17
FAQ-018,SaaS / Tech,billing,How to cancel account entirely?,Settings → Billing → Cancel Account. Prompted to confirm and given option to export data first. Cancellation effective end of current period.,2025-08-19
FAQ-019,SaaS / Tech,billing,Is there free tier available?,"Yes. Free tier supports up to 3 users with limited features. Upgrade to paid plan for unlimited users, advanced features, priority support.",2025-10-21
FAQ-020,SaaS / Tech,billing,Why does invoice show proration charges?,"Proration charges occur when upgrading mid-cycle. Charged only for remaining days of current cycle at new plan rate, minus credit for unused days on old plan.",2025-11-18
FAQ-021,SaaS / Tech,billing,How to dispute billing charge?,Settings → Billing → Dispute Charge or contact support. Include invoice number and charge description. Disputes reviewed within 3 business days.,2025-08-25
FAQ-022,SaaS / Tech,billing,Can I get invoice in different currency?,"Invoices issued in billing currency. For different currency version, contact support — we provide converted invoice for accounting purposes.",2025-12-27
FAQ-023,SaaS / Tech,billing,What payment methods accepted?,"We accept all major credit/debit cards (Visa, Mastercard, Amex, Discover) and ACH bank transfers for annual plans over $1,000.",2026-01-26
FAQ-024,SaaS / Tech,billing,How to set up ACH payment?,"Settings → Billing → Payment Methods → Add ACH. Provide routing and account numbers. Verification micro-deposits sent, confirm amounts within 3 days.",2025-11-21
FAQ-025,SaaS / Tech,billing,Why was I charged sales tax?,"Sales tax applied based on billing address location where legally required. If tax-exempt, upload certificate in Settings → Billing → Tax Exemption.",2026-01-02
FAQ-026,SaaS / Tech,billing,Can I get detailed usage breakdown?,"Settings → Billing → Usage Details shows API calls, storage, bandwidth by date. Export CSV for detailed analysis.",2025-10-17
FAQ-027,SaaS / Tech,billing,How to enable spending limits?,Settings → Billing → Spending Limits. Set monthly cap for usage-based charges. Services pause when limit reached to prevent overage.,2025-12-04
FAQ-028,SaaS / Tech,billing,What happens if payment fails on annual plan?,"You have 7 days to update payment method. If not resolved, workspace suspended. Annual commitment still applies — balance due upon reactivation.",2025-12-31
FAQ-029,SaaS / Tech,billing,Can I split bill across multiple cards?,Not supported. Use single card for payment. Consider corporate card or reimburse submitter if needed for accounting.,2026-01-09
FAQ-030,SaaS / Tech,billing,How to get billing contact to receive invoices?,Settings → Billing → Billing Contacts → Add Email. Invoices sent to account owner and all billing contacts.,2025-09-25
FAQ-031,SaaS / Tech,billing,Why do I see pending charge before bill date?,Authorization hold placed 3 days before billing date to verify card valid. Actual charge processed on billing date.,2025-10-20
FAQ-032,SaaS / Tech,billing,Can I backdate a plan change?,Plan changes effective immediately or scheduled for next cycle. Cannot backdate to prior periods due to billing system limitations.,2025-11-09
FAQ-033,SaaS / Tech,billing,How to get annual plan invoice at start of year?,"Annual invoices issued on billing anniversary. For calendar year invoice, contact support — we can adjust billing cycle once.",2025-08-26
FAQ-034,SaaS / Tech,billing,What's included in Enterprise plan pricing?,"Enterprise pricing custom based on seats, features, support level. Contact sales for quote. Typically includes SSO, advanced security, dedicated support.",2025-12-03
FAQ-035,SaaS / Tech,technical,How to get API key?,"Settings → Developer → API Keys → Create New Key. Store securely — shown only once. If lost, revoke and regenerate.",2025-09-17
FAQ-036,SaaS / Tech,technical,Why am I getting 401 errors on API calls?,401 means unauthenticated request. Verify API key included in Authorization header as 'Bearer YOUR_KEY' and hasn't been revoked.,2026-01-30
FAQ-037,SaaS / Tech,technical,Why am I getting 429 rate limit errors?,You're exceeding API rate limit for your plan. Check X-RateLimit-Remaining header in responses. Consider batching requests or upgrading to higher-tier plan.,2025-09-28
FAQ-038,SaaS / Tech,technical,How to set up webhooks?,"Settings → Developer → Webhooks → Add Endpoint. Enter endpoint URL, select events to subscribe to, save. Test webhook using 'Send Test Event' button.",2025-10-13
FAQ-039,SaaS / Tech,technical,Webhook not receiving events. How to debug?,Check webhook delivery logs in Settings → Developer → Webhooks → select endpoint → View Logs. Common issues: endpoint returning non-200 status or incorrect HTTPS configuration.,2025-09-28
FAQ-040,SaaS / Tech,technical,How to set up SAML SSO?,Settings → Security → SSO → Configure SAML. Need IdP metadata URL or XML file. Full instructions in SSO setup guide at docs.ourapp.com/sso.,2026-01-17
FAQ-041,SaaS / Tech,technical,Dashboard loading very slowly.,"Slow dashboards often caused by large date ranges or many filters. Try narrowing date range. If persists across browsers and networks, contact support.",2026-01-11
FAQ-042,SaaS / Tech,technical,How to bulk import data via CSV?,Go to relevant module → Import → Download Template → fill in template → Upload. Files must match template schema exactly. Max file size 50MB.,2025-10-22
FAQ-043,SaaS / Tech,technical,CSV export has corrupted characters.,Character encoding issue. Open CSV in Excel using Data → From Text/CSV and select UTF-8 encoding. Or open in Google Sheets which handles encoding automatically.,2025-12-31
FAQ-044,SaaS / Tech,technical,How to integrate with Zapier or Make?,We have native integrations with Zapier and Make. Search for our app in Zapier/Make app directory. API credentials (Settings → Developer) required to authenticate.,2025-12-01
FAQ-045,SaaS / Tech,technical,Mobile app not syncing with web.,"Sync delays up to 5 minutes are normal. Force sync by pulling down on main screen. If delayed by hours, log out and back in on mobile app.",2025-10-18
FAQ-046,SaaS / Tech,technical,How to set up two-factor authentication?,Settings → Security → Two-Factor Authentication → Enforce for all users. Users prompted to set up 2FA at next login.,2025-09-28
FAQ-047,SaaS / Tech,technical,Why is data missing from reports?,"Reports use created_date field by default. If data missing, check date range covers when records were created. Verify no filters inadvertently excluding data.",2025-09-04
FAQ-048,SaaS / Tech,technical,How to migrate data from another platform?,"We provide migration tools for common platforms. Settings → Data → Migrate. For custom migrations, our solutions team offers assisted migration services.",2025-12-13
FAQ-049,SaaS / Tech,technical,What's maximum file upload size?,"Maximum file upload 100MB per file. For larger files, contact support about bulk data transfer options or API-based uploads which support up to 5GB.",2025-10-14
FAQ-050,SaaS / Tech,technical,How to generate and rotate API keys?,"Settings → Developer → API Keys. Click key name to view options including Rotate (generates new key, old stays valid 24 hours) and Revoke.",2025-10-23
FAQ-051,SaaS / Tech,technical,How to set up IP allowlisting?,Settings → Security → IP Allowlist → Add IP Range. Only requests from allowlisted IPs accepted. Ensure you add all office and VPN IP ranges before enabling.,2025-08-29
FAQ-052,SaaS / Tech,technical,How to access audit log?,"Settings → Security → Audit Log. Filter by user, action type, date range. Audit logs available for past 12 months on Business plans, unlimited on Enterprise.",2025-10-28
FAQ-053,SaaS / Tech,technical,What are API rate limits for each plan?,"Free: 100 req/min. Starter: 500 req/min. Growth: 1,000 req/min. Business: 5,000 req/min. Enterprise: custom limits. All plans share 1M req/day cap.",2026-02-07
FAQ-054,SaaS / Tech,technical,How to enable debug logging for API?,Add header 'X-Debug: true' to API requests. Debug logs available in Settings → Developer → API Logs for 7 days. Note: debug mode reduces API performance slightly.,2025-09-07
FAQ-055,SaaS / Tech,technical,Why is search not finding recent records?,Search index updates every 5 minutes. Newly created records may not appear immediately. Force re-index in Settings → Data → Reindex (Enterprise only).,2025-11-24
FAQ-056,SaaS / Tech,technical,How to set up custom domain for workspace?,Settings → Workspace → Custom Domain → Add Domain → follow DNS verification instructions. Propagation can take up to 72 hours.,2026-02-06
FAQ-057,SaaS / Tech,technical,API returning stale data. How to force refresh?,Add query parameter ?cache=false to API request to bypass cache and get real-time data. Note: reduces API performance.,2025-08-28
FAQ-058,SaaS / Tech,technical,How to enable real-time notifications?,Settings → Notifications → Real-time Updates → Enable. Uses WebSocket connection. Fallback to polling if WebSocket unavailable.,2025-11-18
FAQ-059,SaaS / Tech,technical,Bulk operations timing out.,"Batch operations have 5-minute timeout. Break large batches into smaller chunks (max 1,000 records per batch recommended).",2026-01-13
FAQ-060,SaaS / Tech,technical,How to export all workspace data?,Settings → Data → Export → select data types → Start Export. Download link emailed when ready (typically within 1 hour for workspaces under 10GB).,2025-10-24
FAQ-061,SaaS / Tech,technical,Can I use API to create automated backups?,Yes. Use GET /backup endpoint to trigger backup. Returns backup file URL. Automate via cron job or scheduled task. Rate limit: 1 backup per hour.,2025-11-17
FAQ-062,SaaS / Tech,technical,How to configure CORS for API requests?,"CORS enabled by default for all origins. For security, set allowed origins in Settings → Developer → CORS Settings → Add Domain.",2025-12-17
FAQ-063,SaaS / Tech,technical,GraphQL API available?,GraphQL available on Business and Enterprise plans. Endpoint: /graphql. Documentation at docs.ourapp.com/graphql. Use same API key for authentication.,2025-08-17
FAQ-064,SaaS / Tech,technical,How to troubleshoot API errors?,"Check API error response for error code and message. Common codes: 400 (bad request), 401 (unauthorized), 404 (not found), 429 (rate limit), 500 (server error). Full error reference at docs.ourapp.com/errors.",2026-02-01
FAQ-065,SaaS / Tech,technical,Can I self-host the platform?,Self-hosting available for Enterprise customers only. Requires Docker/Kubernetes infrastructure. Contact sales for self-hosting package and support.,2026-02-03
FAQ-066,SaaS / Tech,technical,How to set up automated workflows?,"Use built-in Workflow Builder: Settings → Workflows → Create Workflow. Define triggers, conditions, actions. Or use Zapier/Make for external integrations.",2025-09-28
FAQ-067,SaaS / Tech,technical,Platform experiencing downtime?,Check status.ourapp.com for real-time service status. Subscribe to status updates for email/SMS alerts during incidents.,2025-12-08
FAQ-068,SaaS / Tech,account,How to invite new team member?,Settings → Team → Invite Member. Enter email and select role. They receive invitation email valid for 7 days.,2026-02-03
FAQ-069,SaaS / Tech,account,What user roles available and what can each do?,Owner: full access. Admin: all settings except billing and ownership transfer. Member: access to workspace content. Viewer: read-only access. Custom roles available on Business and Enterprise plans.,2026-01-14
FAQ-070,SaaS / Tech,account,How to set up SCIM provisioning?,"Settings → Security → SCIM → Enable. Copy SCIM base URL and bearer token into IdP (Okta, Azure AD, etc.). Users added in IdP automatically provisioned.",2025-10-22
FAQ-071,SaaS / Tech,account,Invited user getting Access Denied.,Usually caused by role assignment delay after SCIM provisioning or manual invite. Settings → Team → find user → verify role assigned correctly.,2026-01-25
FAQ-072,SaaS / Tech,account,How to transfer workspace ownership?,Settings → Team → find user → Transfer Ownership. You'll be demoted to Admin. New owner receives confirmation email.,2026-01-16
FAQ-073,SaaS / Tech,account,How to deactivate user who left company?,Settings → Team → find user → Deactivate. Seat freed at next billing cycle. User's data and activity history retained.,2025-12-30
FAQ-074,SaaS / Tech,account,How to set up custom domain?,Settings → Workspace → Custom Domain → Add Domain. Follow DNS verification instructions. Propagation can take up to 72 hours.,2025-10-10
FAQ-075,SaaS / Tech,account,How to export workspace data for GDPR?,"Settings → Privacy → Data Export → Request Export. Download link emailed within 24 hours. Includes all user data, content, activity logs.",2025-09-30
FAQ-076,SaaS / Tech,account,How to configure password policy?,"Settings → Security → Password Policy. Set minimum length, complexity requirements, expiry period. Users prompted to update password at next login if doesn't meet new policy.",2025-10-10
FAQ-077,SaaS / Tech,account,Why audit log missing some actions?,Audit log coverage depends on plan. Free and Starter log login and billing events only. Growth and above log all user actions. Enterprise offers full immutable audit logs.,2026-01-06
FAQ-078,SaaS / Tech,account,How to enable SSO for workspace?,SSO available on Business and Enterprise plans. Settings → Security → SSO and follow setup guide for your IdP. Test SSO before enforcing to avoid lockouts.,2026-02-03
FAQ-079,SaaS / Tech,account,Can I restrict which countries can access workspace?,"Yes, on Enterprise plans. Settings → Security → Geographic Restrictions → Add Allowed Countries. Users from unlisted countries blocked from accessing workspace.",2025-11-29
FAQ-080,SaaS / Tech,account,How to merge two workspaces?,Workspace merges require migration team's assistance. Contact support with both workspace IDs to start process. Note: merges cannot be undone.,2025-09-18
FAQ-081,SaaS / Tech,account,How to enable session timeout?,Settings → Security → Session Management → set idle timeout period. Sessions automatically expire after specified period of inactivity.,2025-10-19
FAQ-082,SaaS / Tech,account,How to set up email domain allowlist?,Settings → Security → Domain Allowlist → Add Domain. Only users with email addresses from listed domains can be invited to workspace.,2025-09-28
FAQ-083,SaaS / Tech,account,How to manage team permissions?,"Settings → Team → select user → Edit Permissions. Set granular permissions for modules, features. Custom permission sets available on Business and Enterprise.",2026-02-09
FAQ-084,SaaS / Tech,account,Can I create workspace templates?,"Yes. Settings → Workspace → Templates → Create Template. Save workspace structure, settings, content as template for new workspaces.",2025-11-28
FAQ-085,SaaS / Tech,account,How to enable activity monitoring?,"Settings → Security → Activity Monitoring → Enable. Tracks user actions, login times, IP addresses. View reports in Settings → Security → Activity Reports.",2025-11-15
FAQ-086,SaaS / Tech,account,What happens to data when user deactivated?,"User's created content remains in workspace, attributed to deactivated user. Personal files moved to workspace shared drive. Can reactivate user within 30 days to restore access.",2025-12-27
FAQ-087,SaaS / Tech,account,How to set up multi-workspace access?,"Users can be members of multiple workspaces. Switch between workspaces using workspace dropdown in top navigation. Each workspace has separate billing, data, settings.",2026-01-19
FAQ-088,SaaS / Tech,account,Can I clone workspace for testing?,"Yes. Settings → Workspace → Clone Workspace. Creates exact copy including data, users, settings. Useful for testing changes before applying to production workspace.",2025-10-18
FAQ-089,SaaS / Tech,account,How to configure user onboarding?,"Settings → Workspace → Onboarding → customize welcome message, setup checklist, resource links. Shown to new users on first login.",2025-10-08
FAQ-090,SaaS / Tech,account,How to manage API access per user?,Settings → Team → select user → API Access → enable/disable. Can also set user-specific API rate limits on Enterprise plans.,2025-09-22
FAQ-091,SaaS / Tech,account,Can users have different roles in different workspaces?,Yes. User permissions are workspace-specific. Someone can be Admin in one workspace and Viewer in another.,2025-08-18
FAQ-092,SaaS / Tech,account,How to enable guest access?,"Settings → Security → Guest Access → Enable. Guests have limited permissions, can't access sensitive settings. Useful for clients, contractors.",2026-01-19
FAQ-093,SaaS / Tech,account,What's the difference between deactivate and delete user?,"Deactivate: user account preserved, can be reactivated, data retained. Delete: user account permanently removed, cannot be recovered, data deleted or reassigned.",2025-12-19
FAQ-094,SaaS / Tech,account,How to set up approval workflows?,"Settings → Workflows → Approvals → Create Approval Flow. Define approval chain, conditions. Users notified when approval required.",2025-11-16
FAQ-095,SaaS / Tech,account,Can I export list of all users?,"Settings → Team → Export → CSV. Includes name, email, role, status, last login, date added.",2025-12-13
FAQ-096,SaaS / Tech,account,How to enable login alerts?,Settings → Security → Login Alerts → Enable. Receive email when login from new device or location. Helps detect unauthorized access.,2026-01-29
FAQ-097,SaaS / Tech,account,How to configure data retention policies?,"Settings → Privacy → Data Retention → set retention period for different data types (messages, files, logs). Automated deletion after retention period expires.",2025-12-27
FAQ-098,SaaS / Tech,account,Can I recover deleted user account?,"Deleted users cannot be recovered. Deactivated users can be reactivated within 30 days. After 30 days, deactivated users are permanently deleted.",2026-02-01
FAQ-099,SaaS / Tech,account,How to enable workspace-level encryption?,Settings → Security → Encryption → Enable at Rest Encryption. All data encrypted using AES-256. Available on Enterprise plans.,2025-12-31
FAQ-100,SaaS / Tech,account,How to manage user groups?,"Settings → Team → Groups → Create Group. Add users to groups, assign group-level permissions. Simplifies permission management for large teams.",2025-10-16
